id,complete,utilisation_ia,outils_utilises_chatgpt,outils_utilises_copilot,outils_utilises_gemini,outils_utilises_deepseek,outils_utilises_grok,outils_utilises_claude,outils_utilises_autre,ia_favorite,ia_favorite_autre,taches_ia_redaction,taches_ia_recherche,taches_ia_traduction,taches_ia_programmation,taches_ia_presentation,taches_ia_analyse_donnees,taches_ia_brainstorming,taches_ia_planification,taches_ia_revision,taches_ia_cv_lettre,taches_ia_entretien,taches_ia_creation_media,taches_ia_autre,impact_ia_performance,pret_payer_ia_si_efficace,pret_payer_30e_ia,pret_payer_50e_ia,pret_payer_15e_ia,pret_payer_100e_ia,pret_payer_40e_ia,pret_payer_20e_ia,pret_payer_5e_ia,dependance_ia,confiance_ia,accord_ia_decision,partage_infos_confidentielles_ia,importance_origine_ia,verification_infos_ia,reaction_nouveautes_ia,ia_menace_travail,impact_ia_emploi,impact_ia_enseignement,attentes_futures_ia,age,genre,domaine_etudes,domaine_etudes_autre,statut_etudiant,diplome_en_cours,diplome_plus_eleve,temps_total,duree_frequence_utilisation_ia,duree_confiance_ia,duree_perspective_ia,duree_info_personnel
1,4.0,2.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,Y,Y,N,N,N,N,Y,N,N,N,N,N,,,N,N,,Y,,,N,,0.0,6.0,1.0,"Oui, avec méfiance",Y,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,,40-60 ans,Masculin,Sciences et ingénierie.,,N,,3.0,302.8,118.8,85.98,59.73,38.29
2,4.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,Y,Y,N,N,N,N,Y,N,Y,N,N,,,Y,Y,N,,,N,,,1.0,8.0,1.0,"Non, pas d'accord",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,.,30-40 ans.,Masculin,Médecine et santé.,,N,,3.0,859.58,421.68,216.14,167.95,53.81
3,4.0,1.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,N,Y,N,N,N,N,N,Y,Y,Y,N,,,Y,N,,N,,,,Y,2.0,6.0,3.0,"Oui, avec méfiance",Y,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,,25-30 ans.,Masculin,"Arts, lettres et sciences humaines.",,N,,3.0,1591.91,313.03,1044.14,102.5,132.24
4,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,N,N,N,N,Y,N,N,,,N,N,,N,,,,Y,2.0,5.0,1.0,"Oui, sans problème",N,2.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle remplacera de nombreux emplois.,Radicalement,Donner un degré de confiance dans les réponses apportées,40-60 ans,Masculin,Économie et gestion.,,N,,3.0,326.23,99.94,72.52,90.89,62.88
5,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,Y,Y,N,,,N,,,1.0,5.0,1.0,"Non, jamais",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,,18-25 ans.,Autre,Économie et gestion.,,Y,3.0,2.0,287.32,72.86,70.94,24.01,119.51
6,4.0,3.0,Y,Y,Y,Y,Y,Y,,OpenAI ChatGPT,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,,N,,,,2.0,6.0,1.0,"Non, pas d'accord",Y,0.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,,25-30 ans.,Féminin,Économie et gestion.,,Y,3.0,3.0,297.47,123.14,104.99,35.61,33.73
7,4.0,1.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,,,Y,Y,N,,,N,,,2.0,8.0,3.0,"Oui, avec méfiance",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,,25-30 ans.,Masculin,Économie et gestion.,,Y,3.0,3.0,980.68,650.23,151.99,92.14,86.32
8,4.0,1.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,N,N,N,N,N,N,Y,N,N,Y,Y,Y,,,Y,N,,Y,,,Y,,1.0,7.0,1.0,"Oui, sans problème",N,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,,25-30 ans.,Féminin,Économie et gestion.,,Y,3.0,3.0,434.52,138.05,136.75,95.24,64.48
9,4.0,3.0,Y,N,N,Y,N,Y,,OpenAI ChatGPT,,N,Y,N,Y,N,N,Y,N,N,N,N,N,,,Y,N,,Y,,,Y,,1.0,7.0,2.0,"Non, pas d'accord",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,,40-60 ans,Masculin,Sciences et ingénierie.,,N,,3.0,713.55,461.44,100.79,93.24,58.08
10,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,N,N,N,Y,N,N,N,N,Y,Y,N,,,Y,Y,Y,,Y,,,,0.0,7.0,2.0,"Oui, sans problème",Y,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,Aider à fabriquer,25-30 ans.,Masculin,Autre,Commerce,Y,2.0,3.0,468.1,130.25,96.43,79.1,162.32
11,1.0,3.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,N,Y,Y,N,N,N,N,N,N,N,N,N,,,Y,N,,N,,,,Y,2.0,,,,,,,,,,,,,,,,,,1932.98,1932.98,,,
12,4.0,3.0,Y,Y,Y,N,N,N,,OpenAI ChatGPT,,N,Y,N,Y,N,N,Y,N,Y,N,N,N,,,Y,N,,N,,,,Y,1.0,6.0,3.0,"Non, pas d'accord",N,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,,25-30 ans.,Masculin,Sciences et ingénierie.,,Y,3.0,3.0,315.85,78.5,176.72,27.52,33.11
13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
14,0.0,1.0,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,145.36,145.36,,,
15,4.0,3.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,,,Y,N,,N,,,,Y,2.0,8.0,1.0,"Oui, avec méfiance",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,Pouvoir se souvenir des anciens travaux,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,348.35,161.89,72.43,61.37,52.66
16,4.0,2.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,,,Y,Y,N,,,N,,,2.0,6.0,1.0,"Oui, avec méfiance",N,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,Elle remplacera de nombreux emplois.,Largement,"Parler de n'importe quel sujet, sans censure.",18-25 ans.,Masculin,Sciences et ingénierie.,,Y,3.0,2.0,301.06,86.44,54.52,127.24,32.86
17,4.0,2.0,N,N,N,N,N,N,Gemini,Autre,,Y,N,Y,N,N,N,N,N,N,N,N,N,,,N,Y,N,,,N,,,1.0,5.0,3.0,"Non, pas d'accord",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Je ne sais pas encore.,Largement,,18-25 ans.,Féminin,Autre,Ressources humaines et communication,Y,1.0,0.0,676.13,202.9,352.49,60.22,60.52
18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
20,4.0,2.0,Y,N,Y,N,N,Y,,Claude,,N,Y,N,N,N,N,N,N,N,N,N,N,,,N,N,,N,,,,Y,1.0,6.0,2.0,"Oui, avec méfiance",Y,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,Je ne sais pas encore.,Largement,Je sais pas,18-25 ans.,Masculin,Autre,Gestion des ressources humaines,Y,1.0,1.0,482.22,184.69,102.76,135.98,58.79
21,1.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,N,Y,N,N,N,N,N,N,N,N,,,Y,Y,N,,,N,,,2.0,,,,,,,,,,,,,,,,,,166.54,166.54,,,
22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
23,4.0,2.0,Y,N,N,Y,N,N,,OpenAI ChatGPT,,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,,,Y,N,,Y,,,N,,1.0,8.0,1.0,"Oui, avec méfiance",N,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,Elle remplacera de nombreux emplois.,Largement,M’apprendre l’allemand,18-25 ans.,Féminin,Économie et gestion.,,Y,2.0,1.0,593.0,102.21,314.54,144.83,31.42
24,4.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,Y,N,N,N,N,N,N,N,N,N,N,,,Y,N,,N,,,,N,0.0,4.0,0.0,"Non, jamais",N,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Radicalement,,18-25 ans.,Masculin,Économie et gestion.,,N,,2.0,150.05,41.79,55.73,31.97,20.56
25,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,N,N,N,N,N,N,N,N,N,N,,,Y,Y,N,,,N,,,1.0,5.0,1.0,"Oui, avec méfiance",Y,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,,18-25 ans.,Féminin,Économie et gestion.,,Y,3.0,2.0,212.22,78.28,82.68,22.86,28.4
26,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,Y,N,N,N,N,N,N,Y,N,N,N,,,Y,Y,Y,,N,,,,0.0,6.0,2.0,"Oui, avec méfiance",N,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle remplacera de nombreux emplois.,Radicalement,Diagnostic de certaines maladies,30-40 ans.,Masculin,Médecine et santé.,,Y,3.0,3.0,445.5,161.51,115.03,93.48,75.48
27,4.0,2.0,Y,Y,Y,N,N,N,,OpenAI ChatGPT,,N,N,N,N,N,N,N,Y,N,Y,Y,N,,,Y,N,,N,,,,Y,2.0,7.0,1.0,"Oui, avec méfiance",Y,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,,25-30 ans.,Masculin,Droit et science politique,,Y,3.0,3.0,256.18,95.34,86.41,38.38,36.05
28,4.0,0.0,N,N,N,N,N,N,J’ai pas l’habitude d’utiliser les IA,Autre,Je connais pas meme. Vu que je n utilise pas.,N,N,N,N,N,N,N,N,N,N,N,N,Je n’utilise pas,,N,N,,N,,,,N,0.0,1.0,0.0,"Non, jamais",N,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle remplacera de nombreux emplois.,Radicalement,J’aimerais juste qu’on supprime toutes les IA. C’est tout,18-25 ans.,Masculin,Autre,Coiffure,Y,2.0,1.0,445.74,174.95,110.13,93.52,67.14
29,4.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,N,Y,N,N,N,N,N,N,N,N,N,,,N,N,,N,,,,N,1.0,5.0,1.0,"Non, pas d'accord",Y,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle remplacera de nombreux emplois.,Largement,,30-40 ans.,Féminin,Sciences et ingénierie.,,N,,3.0,184.76,86.14,50.45,23.44,24.73
30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
34,4.0,1.0,Y,N,N,Y,N,N,"Perplexity, TwainGPT, Midjourney, Gamma",OpenAI ChatGPT,,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,,,Y,Y,N,,,N,,,1.0,5.0,3.0,"Non, pas d'accord",Y,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle remplacera de nombreux emplois.,Radicalement,,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,250.1,139.7,52.14,34.78,23.48
35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
36,4.0,3.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,,,N,N,,N,,,,Y,1.0,7.0,3.0,"Non, pas d'accord",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle remplacera de nombreux emplois.,Largement,Construire des objets 3D,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,502.62,153.93,103.67,214.88,30.14
37,4.0,3.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,,,Y,Y,N,,,N,,,2.0,7.0,1.0,"Oui, avec méfiance",Y,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,"Ça serait bien à côté de l’information donnée par l’IA qu’il y ait la source pour pouvoir bien vérifier. Parfois les informations qu’elle donne sont erronées et aussi augmenter la mémoire dans les IA génératives. En fait, parfois plus les conversations sont longues et plus l’IA se perd aussi.",18-25 ans.,Féminin,Économie et gestion.,,Y,3.0,3.0,702.34,302.37,65.63,297.74,36.6
38,4.0,2.0,Y,Y,N,N,Y,N,,OpenAI ChatGPT,,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,,,Y,Y,N,,,N,,,1.0,7.0,1.0,"Oui, avec méfiance",N,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,,25-30 ans.,Masculin,Sciences et ingénierie.,,Y,4.0,3.0,324.26,140.78,81.54,74.83,27.11
39,4.0,2.0,Y,N,Y,N,N,Y,,OpenAI ChatGPT,,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,,,Y,N,,Y,,,Y,,1.0,6.0,1.0,"Oui, avec méfiance",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,Etre sur de ses reponse a 100%  et faire concretement ce que l'on lui demande,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,687.75,249.0,154.63,238.38,45.74
40,4.0,3.0,Y,Y,N,Y,Y,N,,Grok,,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,,,Y,N,,Y,,,N,,2.0,8.0,1.0,"Oui, avec méfiance",N,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,Une meilleure interface pour les chat bot. Creer une arborescence personalisé,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,334.08,136.46,58.6,73.64,65.38
41,4.0,2.0,Y,N,N,N,N,N,dall-e,OpenAI ChatGPT,,N,N,Y,Y,N,N,Y,N,N,N,N,N,,,N,N,,N,,,,N,1.0,7.0,1.0,"Non, pas d'accord",Y,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,Création d'objets,25-30 ans.,Masculin,Économie et gestion.,,Y,4.0,3.0,320.48,86.35,60.66,141.11,32.36
42,4.0,3.0,Y,N,N,N,Y,N,,OpenAI ChatGPT,,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,,,Y,N,,N,,,,Y,,9.0,2.0,"Oui, sans problème",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,L'adaptation,18-25 ans.,Masculin,Sciences et ingénierie.,,Y,3.0,3.0,288.73,86.56,57.45,116.29,28.43
43,4.0,2.0,Y,Y,N,Y,N,N,,OpenAI ChatGPT,,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,,,Y,Y,N,,,N,,,1.0,6.0,3.0,"Non, jamais",Y,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,IA forte capable de raisonner,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,266.66,127.35,74.09,39.52,25.7
44,4.0,3.0,Y,N,N,Y,N,N,,OpenAI ChatGPT,,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,,,Y,Y,Y,,Y,,,,2.0,8.0,2.0,"Oui, sans problème",N,1.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",Y,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,,18-25 ans.,Masculin,Sciences et ingénierie.,,Y,3.0,2.0,227.82,115.64,56.18,25.22,30.78
45,4.0,1.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,N,Y,N,N,N,N,N,N,N,N,N,,,Y,N,,N,,,,Y,1.0,4.0,2.0,"Oui, sans problème",Y,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,,40-60 ans,Masculin,Autre,,N,,1.0,300.15,157.8,55.49,56.17,30.69
46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
47,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,N,Y,N,Y,N,N,N,N,N,N,,,Y,Y,Y,,N,,,,1.0,8.0,3.0,"Oui, avec méfiance",N,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,,18-25 ans.,Féminin,Économie et gestion.,,Y,2.0,2.0,211.49,74.18,60.89,50.34,26.08
48,4.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,N,,Y,,,Y,,1.0,5.0,2.0,"Oui, sans problème",N,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,M aide à devenir riche,18-25 ans.,Masculin,"Arts, lettres et sciences humaines.",,Y,2.0,1.0,272.71,111.45,78.36,50.04,32.86
49,4.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,,,Y,N,,Y,,,Y,,1.0,8.0,2.0,"Non, pas d'accord",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,127.32,67.11,28.43,16.73,15.05
50,4.0,1.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,N,Y,N,N,N,Y,N,N,N,N,N,,,N,N,,N,,,,Y,0.0,6.0,1.0,"Non, pas d'accord",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,,25-30 ans.,Féminin,Médecine et santé.,,Y,4.0,4.0,323.52,190.13,62.91,35.05,35.43
51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
