utilisation_ia,outils_utilises_chatgpt,outils_utilises_copilot,outils_utilises_gemini,outils_utilises_deepseek,outils_utilises_grok,outils_utilises_claude,outils_utilises_autre,ia_favorite,taches_ia_redaction,taches_ia_recherche,taches_ia_traduction,taches_ia_programmation,taches_ia_presentation,taches_ia_analyse_donnees,taches_ia_brainstorming,taches_ia_planification,taches_ia_revision,taches_ia_cv_lettre,taches_ia_entretien,taches_ia_creation_media,pret_payer_ia_si_efficace,pret_payer_30e_ia,pret_payer_15e_ia,dependance_ia,confiance_ia,accord_ia_decision,partage_infos_confidentielles_ia,importance_origine_ia,verification_infos_ia,reaction_nouveautes_ia,ia_menace_travail,impact_ia_emploi,impact_ia_enseignement,age,genre,domaine_etudes,statut_etudiant,ScoreRisk,outils_utilises_perplexity,bac,ia_futures_sentiment,ScoreOpportunity
2.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,6.0,1.0,"Oui, avec méfiance",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,40-60 ans,0.0,Sciences et ingénierie,0.0,6,0,bac+5,0.15866291666666665,4.8
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0.0,1.0,8.0,1.0,"Non, pas d'accord",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,30-40 ans.,0.0,Médecine et santé.,0.0,6,0,bac+5,0.10194329365079363,6.2
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0,2.0,6.0,3.0,"Oui, avec méfiance",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,25-30 ans.,0.0,"Arts, lettres et sciences humaines et sociales",0.0,10,0,bac+5,0.11645029761904759,4.2
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2.0,5.0,1.0,"Oui, sans problème",0,2.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle remplacera de nombreux emplois.,Radicalement,40-60 ans,0.0,Économie et gestion,0.0,8,0,bac+5,0.0,3.5
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,5.0,1.0,"Non, jamais",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,18-25 ans.,0.0,Économie et gestion,1.0,4,0,bac+5,0.05452420634920635,5.3
3.0,1,1,1,1,1,1,1,OpenAI ChatGPT,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0,2.0,6.0,1.0,"Non, pas d'accord",1,0.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,25-30 ans.,1.0,Économie et gestion,1.0,6,0,bac+5,0.12608661255411258,14.5
1.0,1,0,1,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0.0,2.0,8.0,3.0,"Oui, avec méfiance",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,25-30 ans.,0.0,Économie et gestion,1.0,12,0,bac+5,0.061195674603174606,6.3
1.0,1,0,1,0,0,0,1,OpenAI ChatGPT,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1.0,1.0,7.0,1.0,"Oui, sans problème",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,25-30 ans.,1.0,Économie et gestion,1.0,9,0,bac+5,0.11611126984126979,5.3
3.0,1,0,0,1,0,1,1,OpenAI ChatGPT,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1.0,1.0,7.0,2.0,"Non, pas d'accord",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,40-60 ans,0.0,Sciences et ingénierie,0.0,6,0,bac+5,0.12801877525252522,5.2
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0.0,0.0,7.0,2.0,"Oui, sans problème",1,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,25-30 ans.,0.0,Économie et gestion,1.0,6,0,bac+3,0.0,5.1
3.0,1,1,1,0,0,0,1,OpenAI ChatGPT,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.0,1.0,6.0,3.0,"Non, pas d'accord",0,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,25-30 ans.,0.0,Sciences et ingénierie,1.0,7,0,bac+5,0.1410261111111111,5.4
3.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0.0,2.0,8.0,1.0,"Oui, avec méfiance",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,0.0,Économie et gestion,1.0,10,0,bac+5,0.04,7.7
2.0,1,0,1,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0.0,2.0,6.0,1.0,"Oui, avec méfiance",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Sciences et ingénierie,1.0,9,0,bac+5,0.0,6.7
2.0,0,0,0,0,0,0,1,Autre,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,5.0,3.0,"Non, pas d'accord",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Je ne sais pas encore.,Largement,18-25 ans.,1.0,"Arts, lettres et sciences humaines et sociales",1.0,6,0,bac+2,0.07754499999999996,3.6
2.0,1,0,1,0,0,1,1,Claude,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,6.0,2.0,"Oui, avec méfiance",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Je ne sais pas encore.,Largement,18-25 ans.,0.0,"Arts, lettres et sciences humaines et sociales",1.0,9,0,bac+2,0.0,2.0
2.0,1,0,0,1,0,0,1,OpenAI ChatGPT,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1.0,1.0,8.0,1.0,"Oui, avec méfiance",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,1.0,Économie et gestion,1.0,6,0,bac+3,0.0,9.0
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,4.0,0.0,"Non, jamais",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Radicalement,18-25 ans.,0.0,Économie et gestion,0.0,1,0,bac+3,0.08931076388888888,1.8
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,5.0,1.0,"Oui, avec méfiance",1,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,18-25 ans.,1.0,Économie et gestion,1.0,3,0,bac+5,0.05225824404761904,3.5
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0.0,0.0,6.0,2.0,"Oui, avec méfiance",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle remplacera de nombreux emplois.,Radicalement,30-40 ans.,0.0,Médecine et santé.,1.0,5,0,bac+5,0.29,3.2
2.0,1,1,1,0,0,0,1,OpenAI ChatGPT,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0.0,2.0,7.0,1.0,"Oui, avec méfiance",1,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,25-30 ans.,0.0,Droit et science politique,1.0,5,0,bac+5,0.060603968253968236,3.9
0.0,0,0,0,0,0,0,1,Autre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,"Non, jamais",0,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Radicalement,18-25 ans.,0.0,"Arts, lettres et sciences humaines et sociales",1.0,0,0,bac+3,0.22,0.4
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,5.0,1.0,"Non, pas d'accord",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle remplacera de nombreux emplois.,Largement,30-40 ans.,1.0,Sciences et ingénierie,0.0,4,0,bac+5,0.09829509920634917,3.3
1.0,1,0,0,1,0,0,0,OpenAI ChatGPT,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0.0,1.0,5.0,3.0,"Non, pas d'accord",1,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Radicalement,18-25 ans.,0.0,Économie et gestion,1.0,3,1,bac+5,0.09315964285714283,8.8
3.0,1,0,1,0,0,0,1,OpenAI ChatGPT,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0.0,1.0,7.0,3.0,"Non, pas d'accord",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Économie et gestion,1.0,6,0,bac+5,0.0,6.4
3.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0.0,2.0,7.0,1.0,"Oui, avec méfiance",1,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,1.0,Économie et gestion,1.0,6,0,bac+5,-4.625929269271485e-18,10.4
2.0,1,1,0,0,1,0,1,OpenAI ChatGPT,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0.0,1.0,7.0,1.0,"Oui, avec méfiance",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,25-30 ans.,0.0,Sciences et ingénierie,1.0,7,0,bac+8,0.13866103174603175,7.5
2.0,1,0,1,0,0,1,1,OpenAI ChatGPT,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1.0,1.0,6.0,1.0,"Oui, avec méfiance",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,18-25 ans.,0.0,Économie et gestion,1.0,6,0,bac+5,0.0,10.1
3.0,1,1,0,1,1,0,1,Grok,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1.0,2.0,8.0,1.0,"Oui, avec méfiance",0,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,0.0,Économie et gestion,1.0,11,0,bac+5,0.53,7.6
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,1.0,7.0,1.0,"Non, pas d'accord",1,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,25-30 ans.,0.0,Économie et gestion,1.0,2,0,bac+8,0.0,3.9
3.0,1,0,0,0,1,0,1,OpenAI ChatGPT,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0.0,1.0,9.0,2.0,"Oui, sans problème",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,18-25 ans.,0.0,Sciences et ingénierie,1.0,11,0,bac+5,0.0,9.6
2.0,1,1,0,1,0,0,1,OpenAI ChatGPT,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0.0,1.0,6.0,3.0,"Non, jamais",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,18-25 ans.,0.0,Économie et gestion,1.0,7,0,bac+5,0.38,10.4
3.0,1,0,0,1,0,0,1,OpenAI ChatGPT,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.0,2.0,8.0,2.0,"Oui, sans problème",0,1.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,18-25 ans.,0.0,Sciences et ingénierie,1.0,14,0,bac+5,0.10945988095238095,10.9
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,4.0,2.0,"Oui, sans problème",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,40-60 ans,0.0,Autre,0.0,10,0,bac+2,0.10542261904761899,2.0
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0.0,1.0,8.0,3.0,"Oui, avec méfiance",0,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,18-25 ans.,1.0,Économie et gestion,1.0,7,0,bac+3,0.08879396825396825,5.0
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1.0,1.0,5.0,2.0,"Oui, sans problème",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,18-25 ans.,0.0,"Arts, lettres et sciences humaines et sociales",1.0,8,0,bac+3,0.45,10.0
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1.0,1.0,8.0,2.0,"Non, pas d'accord",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,18-25 ans.,0.0,Économie et gestion,1.0,8,0,bac+5,0.09518879960317463,8.3
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,6.0,1.0,"Non, pas d'accord",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,25-30 ans.,1.0,Médecine et santé.,1.0,3,0,bac+8,0.0707526984126984,3.6
3.0,1,0,1,0,0,1,0,OpenAI ChatGPT,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1.0,2.0,6.0,1.0,"Non, pas d'accord",1,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Légèrement,18-25 ans.,1.0,Économie et gestion,1.0,3,1,bac+5,0.05305022817460317,7.7
2.0,1,1,1,0,1,0,1,OpenAI ChatGPT,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0.0,1.0,6.0,2.0,"Oui, avec méfiance",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Radicalement,18-25 ans.,0.0,Sciences et ingénierie,1.0,8,0,bac+3,0.12249999999999998,6.5
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,6.0,3.0,"Oui, avec méfiance",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Je ne sais pas encore.,Largement,18-25 ans.,1.0,"Arts, lettres et sciences humaines et sociales",1.0,8,0,bac+5,0.061267182539682545,3.6
3.0,1,0,1,0,0,0,1,OpenAI ChatGPT,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0.0,2.0,6.0,1.0,"Oui, sans problème",0,2.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,18-25 ans.,1.0,Économie et gestion,1.0,8,0,bac+5,0.049933809523809526,8.9
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1.0,1.0,8.0,1.0,"Non, pas d'accord",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,40-60 ans,1.0,Économie et gestion,0.0,6,0,bac,0.12245431547619046,3.7
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,2.0,7.0,1.0,"Oui, avec méfiance",1,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle remplacera de nombreux emplois.,Légèrement,25-30 ans.,0.0,Droit et science politique,1.0,6,0,bac+5,0.09361245039682538,2.1
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0.0,1.0,6.0,1.0,"Oui, avec méfiance",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,1.0,Économie et gestion,1.0,6,0,bac+5,0.05412083333333333,7.0
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,7.0,1.0,"Non, jamais",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle remplacera de nombreux emplois.,Radicalement,25-30 ans.,0.0,Autre,0.0,5,0,bac,0.11407148809523805,3.3
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1.0,2.0,7.0,1.0,"Oui, sans problème",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Légèrement,18-25 ans.,0.0,Économie et gestion,1.0,10,0,bac+5,0.0,5.8
2.0,1,0,0,0,1,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0.0,2.0,5.0,1.0,"Oui, avec méfiance",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,18-25 ans.,0.0,Économie et gestion,1.0,9,0,bac+5,0.09304867063492062,4.6
2.0,0,0,0,0,0,0,1,Autre,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0.0,2.0,4.0,0.0,"Non, pas d'accord",0,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Radicalement,18-25 ans.,1.0,"Arts, lettres et sciences humaines et sociales",1.0,3,0,bac+3,0.0,4.1
3.0,1,0,0,0,0,1,1,OpenAI ChatGPT,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1.0,2.0,6.0,1.0,"Oui, avec méfiance",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,18-25 ans.,1.0,Économie et gestion,1.0,8,0,bac+5,0.08187515873015874,6.4
2.0,1,0,1,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0.0,1.0,7.0,1.0,"Oui, avec méfiance",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle remplacera de nombreux emplois.,Radicalement,18-25 ans.,1.0,Économie et gestion,1.0,4,0,bac+5,0.07790086309523807,5.8
