utilisation_ia,outils_utilises_chatgpt,outils_utilises_copilot,outils_utilises_gemini,outils_utilises_deepseek,outils_utilises_grok,outils_utilises_claude,outils_utilises_autre,ia_favorite,taches_ia_redaction,taches_ia_recherche,taches_ia_traduction,taches_ia_programmation,taches_ia_presentation,taches_ia_analyse_donnees,taches_ia_brainstorming,taches_ia_planification,taches_ia_revision,taches_ia_cv_lettre,taches_ia_entretien,taches_ia_creation_media,pret_payer_ia_si_efficace,pret_payer_30e_ia,pret_payer_15e_ia,dependance_ia,confiance_ia,accord_ia_decision,partage_infos_confidentielles_ia,importance_origine_ia,verification_infos_ia,reaction_nouveautes_ia,ia_menace_travail,impact_ia_emploi,impact_ia_enseignement,age,genre,domaine_etudes,statut_etudiant,ScoreRisk,outils_utilises_perplexity,bac,ia_futures_sentiment,ScoreOpportunity
3.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,9.0,2.0,"Oui, sans problème",1,0.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",0.0,Elle remplacera de nombreux emplois.,Pas du tout,25-30 ans.,0.0,Sciences et ingénierie,1.0,12,0,bac+5,0.09466047619047618,4.4
2.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,8.0,2.0,"Oui, sans problème",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,18-25 ans.,1.0,Économie et gestion,1.0,12,0,bac+3,0.21,3.3
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0.0,0.0,6.0,0.0,"Non, jamais",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,18-25 ans.,1.0,Économie et gestion,1.0,3,0,bac+3,0.07242383928571428,6.6
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.0,1.0,7.0,3.0,"Oui, avec méfiance",0,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,25-30 ans.,0.0,"Arts, lettres et sciences humaines et sociales",1.0,5,0,bac+5,0.10740315476190476,11.3
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,9.0,3.0,"Oui, avec méfiance",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,1.0,Sciences et ingénierie,1.0,12,0,bac+3,0.044981309523809514,3.1
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.0,2.0,8.0,1.0,"Oui, avec méfiance",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,18-25 ans.,0.0,Économie et gestion,1.0,11,0,bac+3,0.09136991071428568,7.2
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1.0,7.0,3.0,"Non, pas d'accord",0,2.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,18-25 ans.,1.0,Économie et gestion,1.0,5,0,bac+3,0.061290952380952356,4.3
3.0,1,0,0,1,1,0,1,OpenAI ChatGPT,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0.0,1.0,8.0,1.0,"Oui, avec méfiance",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,18-25 ans.,0.0,Économie et gestion,1.0,9,0,bac+5,0.4,7.2
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,"Non, jamais",1,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Je ne sais pas encore.,Largement,18-25 ans.,0.0,Droit et science politique,1.0,0,0,bac+5,0.0,1.7
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,5.0,1.0,"Non, pas d'accord",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,18-25 ans.,0.0,Sciences et ingénierie,1.0,2,0,bac+5,0.36,1.7
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,4.0,3.0,"Non, jamais",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Je ne sais pas encore.,Largement,25-30 ans.,0.0,Économie et gestion,1.0,6,0,bac+3,0.0629982142857143,4.8
3.0,1,0,0,1,0,0,1,OpenAI ChatGPT,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1.0,1.0,7.0,3.0,"Oui, avec méfiance",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,0.0,Économie et gestion,1.0,8,0,bac+5,0.4,5.5
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0,1.0,7.0,2.0,"Non, pas d'accord",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Radicalement,18-25 ans.,0.0,Économie et gestion,1.0,7,0,bac+5,0.10860025793650797,12.9
2.0,1,0,1,0,0,0,1,OpenAI ChatGPT,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0.0,1.0,6.0,0.0,"Non, pas d'accord",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,18-25 ans.,0.0,Économie et gestion,1.0,4,0,bac+5,0.0776392857142857,7.7
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0,2.0,8.0,1.0,"Oui, avec méfiance",0,3.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Radicalement,18-25 ans.,0.0,Économie et gestion,1.0,7,0,bac+5,0.0,3.0
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,5.0,3.0,"Oui, avec méfiance",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,30-40 ans.,0.0,Sciences et ingénierie,1.0,8,0,bac+5,0.0,4.5
2.0,1,1,0,0,0,0,1,OpenAI ChatGPT,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,7.0,1.0,"Non, pas d'accord",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Sciences et ingénierie,1.0,4,0,bac+3,0.15,5.3
3.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0.0,1.0,7.0,1.0,"Oui, avec méfiance",0,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,25-30 ans.,0.0,Économie et gestion,1.0,6,0,bac+8,0.0,6.4
2.0,1,0,0,1,1,0,1,OpenAI ChatGPT,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1.0,1.0,8.0,3.0,"Non, jamais",1,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,30-40 ans.,0.0,Sciences et ingénierie,0.0,9,0,bac+2,0.29,8.7
3.0,1,0,1,0,0,0,1,OpenAI ChatGPT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,6.0,3.0,"Non, pas d'accord",0,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,18-25 ans.,0.0,Autre,1.0,5,0,bac+5,0.08438632936507932,2.5
3.0,1,0,0,0,0,1,1,OpenAI ChatGPT,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0.0,0.0,9.0,2.0,"Oui, avec méfiance",1,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,40-60 ans,0.0,Sciences et ingénierie,0.0,7,0,bac+5,0.14638027777777776,9.4
3.0,1,0,0,1,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,2.0,8.0,1.0,"Non, pas d'accord",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,18-25 ans.,0.0,Économie et gestion,1.0,9,0,bac+5,0.09154386453823954,3.4
2.0,1,0,0,1,0,0,1,OpenAI ChatGPT,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0.0,2.0,6.0,2.0,"Oui, sans problème",1,0.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",0.0,Elle remplacera de nombreux emplois.,Radicalement,18-25 ans.,0.0,Économie et gestion,1.0,12,0,bac+3,0.0,4.1
0.0,0,0,0,0,0,0,1,Autre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,1.0,"Non, pas d'accord",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Autre,1.0,3,0,bac+5,0.08443238095238093,1.2
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,8.0,1.0,"Oui, avec méfiance",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle remplacera de nombreux emplois.,Largement,25-30 ans.,1.0,"Arts, lettres et sciences humaines et sociales",1.0,8,0,bac+3,0.05210797619047618,2.8
3.0,0,0,1,0,0,0,1,Google Gemini,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0.0,1.0,10.0,2.0,"Oui, sans problème",1,2.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,0.0,"Arts, lettres et sciences humaines et sociales",1.0,10,0,bac,0.0,4.6
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0.0,2.0,7.0,1.0,"Oui, sans problème",1,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Autre,1.0,8,0,bac+5,0.10333738095238094,8.7
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0.0,1.0,8.0,1.0,"Oui, avec méfiance",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Pas du tout,18-25 ans.,1.0,"Arts, lettres et sciences humaines et sociales",1.0,8,0,bac+5,0.0,4.8
2.0,1,0,0,1,0,0,1,OpenAI ChatGPT,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0.0,1.0,7.0,0.0,"Oui, avec méfiance",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Légèrement,18-25 ans.,0.0,Économie et gestion,1.0,6,0,bac+8,0.27,6.4
3.0,1,1,0,0,0,0,1,Microsoft Copilot,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,6.0,0.0,"Oui, avec méfiance",0,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,18-25 ans.,0.0,Sciences et ingénierie,0.0,3,0,bac+5,0.13399515873015871,1.9
2.0,1,0,0,1,0,0,1,OpenAI ChatGPT,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0.0,2.0,7.0,3.0,"Non, pas d'accord",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,18-25 ans.,0.0,Économie et gestion,1.0,9,0,bac+5,0.0,4.8
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,9.0,2.0,"Oui, avec méfiance",0,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Autre,1.0,10,0,bac+5,0.09637615079365071,3.5
3.0,1,1,1,1,0,0,1,OpenAI ChatGPT,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0.0,0.0,6.0,2.0,"Oui, avec méfiance",1,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Je ne sais pas encore.,Radicalement,18-25 ans.,0.0,Économie et gestion,1.0,8,0,bac+5,0.22,11.5
2.0,1,1,0,0,0,1,1,OpenAI ChatGPT,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0.0,1.0,8.0,1.0,"Oui, avec méfiance",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Sciences et ingénierie,1.0,8,0,bac+5,0.08213974206349206,6.4
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,7.0,1.0,"Oui, avec méfiance",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,0.0,"Arts, lettres et sciences humaines et sociales",0.0,6,0,bac,0.53,3.1
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0.0,1.0,7.0,3.0,"Oui, sans problème",0,2.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Radicalement,18-25 ans.,0.0,"Arts, lettres et sciences humaines et sociales",1.0,7,0,bac+3,0.12246583333333333,8.9
3.0,1,1,1,1,0,0,1,OpenAI ChatGPT,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0.0,2.0,8.0,2.0,"Non, pas d'accord",0,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Radicalement,18-25 ans.,0.0,Sciences et ingénierie,1.0,11,0,bac+5,0.13446220238095236,10.1
2.0,1,0,1,1,0,0,1,OpenAI ChatGPT,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0.0,2.0,7.0,2.0,"Oui, avec méfiance",1,1.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,18-25 ans.,0.0,Sciences et ingénierie,1.0,10,0,bac+5,0.0,9.9
3.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1.0,1.0,6.0,3.0,"Non, pas d'accord",1,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,18-25 ans.,1.0,Sciences et ingénierie,1.0,7,0,bac+5,0.1103583531746032,5.6
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,7.0,3.0,"Oui, avec méfiance",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,30-40 ans.,0.0,Droit et science politique,1.0,8,0,bac+5,0.0740696626984127,2.7
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.0,2.0,4.0,1.0,"Non, pas d'accord",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,18-25 ans.,0.0,Économie et gestion,1.0,4,0,bac+5,0.22,4.2
3.0,0,0,0,0,0,0,0,Autre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,7.0,2.0,"Oui, avec méfiance",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,18-25 ans.,1.0,"Arts, lettres et sciences humaines et sociales",1.0,8,1,bac+2,0.0,1.9
2.0,1,0,1,0,0,0,1,OpenAI ChatGPT,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,6.0,3.0,"Non, pas d'accord",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,18-25 ans.,0.0,Économie et gestion,1.0,5,0,bac+5,0.0,6.0
3.0,1,0,0,0,1,0,1,Grok,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1.0,2.0,8.0,1.0,"Non, jamais",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,0.0,Économie et gestion,1.0,8,0,bac+5,-0.1,6.6
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,7.0,1.0,"Non, jamais",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Largement,25-30 ans.,1.0,Droit et science politique,1.0,6,0,bac+5,0.0,2.1
3.0,1,1,0,1,1,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,5.0,1.0,"Non, pas d'accord",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Économie et gestion,1.0,4,0,bac+5,0.0,4.2
1.0,0,0,1,0,0,0,1,Google Gemini,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,7.0,1.0,"Non, pas d'accord",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Largement,30-40 ans.,0.0,Médecine et santé.,0.0,3,0,bac,0.10355726190476189,2.7
2.0,1,1,1,0,0,0,1,OpenAI ChatGPT,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0.0,1.0,7.0,1.0,"Oui, avec méfiance",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Radicalement,18-25 ans.,0.0,Sciences et ingénierie,1.0,7,0,bac+5,0.10813135912698416,7.5
2.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.0,1.0,7.0,1.0,"Oui, avec méfiance",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Économie et gestion,1.0,7,0,bac+5,0.08373859126984126,6.2
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0.0,1.0,7.0,3.0,"Non, pas d'accord",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,1.0,Autre,1.0,6,0,bac+2,0.0,6.1
2.0,1,0,0,1,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0.0,1.0,7.0,1.0,"Non, pas d'accord",0,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,0.0,Économie et gestion,1.0,5,0,bac+5,0.09989249999999998,5.6
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0.0,1.0,6.0,3.0,"Non, pas d'accord",0,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,18-25 ans.,1.0,Économie et gestion,1.0,3,0,bac+5,0.0846545238095238,5.6
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,2.0,8.0,1.0,"Oui, avec méfiance",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,30-40 ans.,0.0,Sciences et ingénierie,0.0,11,0,bac+2,0.12976156746031742,1.2
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0.0,2.0,7.0,1.0,"Oui, avec méfiance",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle remplacera de nombreux emplois.,Radicalement,18-25 ans.,0.0,Économie et gestion,1.0,8,0,bac+5,0.053469821428571436,10.7
