utilisation_ia,outils_utilises_chatgpt,outils_utilises_copilot,outils_utilises_gemini,outils_utilises_deepseek,outils_utilises_grok,outils_utilises_claude,outils_utilises_autre,ia_favorite,taches_ia_redaction,taches_ia_recherche,taches_ia_traduction,taches_ia_programmation,taches_ia_presentation,taches_ia_analyse_donnees,taches_ia_brainstorming,taches_ia_planification,taches_ia_revision,taches_ia_cv_lettre,taches_ia_entretien,taches_ia_creation_media,pret_payer_ia_si_efficace,pret_payer_30e_ia,pret_payer_15e_ia,dependance_ia,confiance_ia,accord_ia_decision,partage_infos_confidentielles_ia,importance_origine_ia,verification_infos_ia,reaction_nouveautes_ia,ia_menace_travail,impact_ia_emploi,impact_ia_enseignement,age,genre,domaine_etudes,statut_etudiant,ScoreRisk,outils_utilises_perplexity,bac,ia_futures_sentiment,ScoreOpportunity,outils_recom,profil_recom
2.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,6.0,1.0,"Oui, avec méfiance",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,40-60 ans,0.0,Sciences et ingénierie,0.0,6,0,bac+5,0.1802315476190476,4.8,"['Microsoft Copilot', 'HuggingChat', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Power User
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0.0,1.0,8.0,1.0,"Non, pas d'accord",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,30-40 ans.,0.0,Médecine et santé.,0.0,6,0,bac+5,0.1481723809523809,6.2,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0,2.0,6.0,3.0,"Oui, avec méfiance",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,25-30 ans.,0.0,"Arts, lettres et sciences humaines.",0.0,10,0,bac+5,0.1372145238095238,4.2,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2.0,5.0,1.0,"Oui, sans problème",0,2.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle remplacera de nombreux emplois.,Radicalement,40-60 ans,0.0,Économie et gestion.,0.0,8,0,bac+5,0.0,3.5,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,5.0,1.0,"Non, jamais",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,18-25 ans.,0.0,Économie et gestion.,1.0,4,0,bac+5,0.0437745021645021,5.3,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
3.0,1,1,1,1,1,1,1,OpenAI ChatGPT,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0,2.0,6.0,1.0,"Non, pas d'accord",1,0.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,25-30 ans.,1.0,Économie et gestion.,1.0,6,0,bac+5,0.098113492063492,14.5,"['Microsoft Copilot', 'HuggingChat', 'Google Gemini', 'Grok', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'DeepSeek', 'Claude', 'OpenAI ChatGPT']",Big Tech Lover
1.0,1,0,1,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0.0,2.0,8.0,3.0,"Oui, avec méfiance",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,25-30 ans.,0.0,Économie et gestion.,1.0,12,0,bac+5,0.0589830158730158,6.3,"['HuggingChat', 'Google Gemini', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Power User
1.0,1,0,1,0,0,0,1,OpenAI ChatGPT,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1.0,1.0,7.0,1.0,"Oui, sans problème",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,25-30 ans.,1.0,Économie et gestion.,1.0,9,0,bac+5,0.1208207142857142,5.3,"['HuggingChat', 'Google Gemini', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Power User
3.0,1,0,0,1,0,1,1,OpenAI ChatGPT,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1.0,1.0,7.0,2.0,"Non, pas d'accord",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,40-60 ans,0.0,Sciences et ingénierie,0.0,6,0,bac+5,0.1536100974025974,5.2,"['HuggingChat', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'DeepSeek', 'Claude', 'OpenAI ChatGPT']",Power User
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0.0,0.0,7.0,2.0,"Oui, sans problème",1,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,25-30 ans.,0.0,Économie et gestion,1.0,6,0,bac+3,0.0,5.1,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
3.0,1,1,1,0,0,0,1,OpenAI ChatGPT,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.0,1.0,6.0,3.0,"Non, pas d'accord",0,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,25-30 ans.,0.0,Sciences et ingénierie,1.0,7,0,bac+5,0.1213344047619047,5.4,"['Microsoft Copilot', 'HuggingChat', 'Google Gemini', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Big Tech Lover
3.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0.0,2.0,8.0,1.0,"Oui, avec méfiance",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,0.0,Économie et gestion.,1.0,10,0,bac+5,0.04,7.7,"['Microsoft Copilot', 'HuggingChat', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Power User
2.0,1,0,1,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0.0,2.0,6.0,1.0,"Oui, avec méfiance",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Sciences et ingénierie,1.0,9,0,bac+5,0.0,6.7,"['HuggingChat', 'Google Gemini', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Power User
2.0,0,0,0,0,0,0,1,Autre,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,5.0,3.0,"Non, pas d'accord",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Je ne sais pas encore.,Largement,18-25 ans.,1.0,"Arts, lettres et sciences humaines et sociales",1.0,6,0,bac+2,0.0596151587301587,3.6,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'Autre']",Curieux
2.0,1,0,1,0,0,1,1,Claude,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,6.0,2.0,"Oui, avec méfiance",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Je ne sais pas encore.,Largement,18-25 ans.,0.0,"Arts, lettres et sciences humaines et sociales",1.0,9,0,bac+2,0.0,2.0,"['HuggingChat', 'Google Gemini', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'Claude', 'Claude']",Big Tech Lover
2.0,1,0,0,1,0,0,1,OpenAI ChatGPT,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1.0,1.0,8.0,1.0,"Oui, avec méfiance",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,1.0,Économie et gestion.,1.0,6,0,bac+3,0.0,9.0,"['HuggingChat', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'DeepSeek', 'OpenAI ChatGPT']",Power User
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,4.0,0.0,"Non, jamais",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Radicalement,18-25 ans.,0.0,Économie et gestion.,0.0,1,0,bac+3,0.1055488095238095,1.8,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,5.0,1.0,"Oui, avec méfiance",1,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,18-25 ans.,1.0,Économie et gestion.,1.0,3,0,bac+5,0.0690635497835497,3.5,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0.0,0.0,6.0,2.0,"Oui, avec méfiance",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle remplacera de nombreux emplois.,Radicalement,30-40 ans.,0.0,Médecine et santé.,1.0,5,0,bac+5,0.29,3.2,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
2.0,1,1,1,0,0,0,1,OpenAI ChatGPT,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0.0,2.0,7.0,1.0,"Oui, avec méfiance",1,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,25-30 ans.,0.0,Droit et science politique,1.0,5,0,bac+5,0.0624785714285714,3.9,"['Microsoft Copilot', 'HuggingChat', 'Google Gemini', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Big Tech Lover
0.0,0,0,0,0,0,0,1,Autre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,"Non, jamais",0,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Radicalement,18-25 ans.,0.0,"Arts, lettres et sciences humaines et sociales",1.0,0,0,bac+3,0.22,0.4,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'Autre']",Curieux
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,5.0,1.0,"Non, pas d'accord",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle remplacera de nombreux emplois.,Largement,30-40 ans.,1.0,Sciences et ingénierie,0.0,4,0,bac+5,0.1125557142857142,3.3,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
1.0,1,0,0,1,0,0,0,OpenAI ChatGPT,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0.0,1.0,5.0,3.0,"Non, pas d'accord",1,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle remplacera de nombreux emplois.,Radicalement,18-25 ans.,0.0,Économie et gestion.,1.0,3,1,bac+5,0.09352,8.8,"['OpenAI ChatGPT', 'DeepSeek', 'OpenAI ChatGPT']",Minimaliste
3.0,1,0,1,0,0,0,1,OpenAI ChatGPT,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0.0,1.0,7.0,3.0,"Non, pas d'accord",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle remplacera de nombreux emplois.,Largement,18-25 ans.,0.0,Économie et gestion.,1.0,6,0,bac+5,0.0,6.4,"['HuggingChat', 'Google Gemini', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Power User
3.0,1,1,0,0,0,0,1,OpenAI ChatGPT,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0.0,2.0,7.0,1.0,"Oui, avec méfiance",1,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,1.0,Économie et gestion.,1.0,6,0,bac+5,-4.625929269271485e-18,10.4,"['Microsoft Copilot', 'HuggingChat', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Power User
2.0,1,1,0,0,1,0,1,OpenAI ChatGPT,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0.0,1.0,7.0,1.0,"Oui, avec méfiance",0,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,25-30 ans.,0.0,Sciences et ingénierie,1.0,7,0,bac+8,0.1330060714285714,7.5,"['Microsoft Copilot', 'HuggingChat', 'Grok', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Power User
2.0,1,0,1,0,0,1,1,OpenAI ChatGPT,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1.0,1.0,6.0,1.0,"Oui, avec méfiance",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,18-25 ans.,0.0,Économie et gestion.,1.0,6,0,bac+5,0.0,10.1,"['HuggingChat', 'Google Gemini', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'Claude', 'OpenAI ChatGPT']",Big Tech Lover
3.0,1,1,0,1,1,0,1,Grok,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1.0,2.0,8.0,1.0,"Oui, avec méfiance",0,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,18-25 ans.,0.0,Économie et gestion.,1.0,11,0,bac+5,0.53,7.6,"['Microsoft Copilot', 'HuggingChat', 'Grok', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'DeepSeek', 'Grok']",Power User
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,1.0,7.0,1.0,"Non, pas d'accord",1,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,25-30 ans.,0.0,Économie et gestion.,1.0,2,0,bac+8,0.0,3.9,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
3.0,1,0,0,0,1,0,1,OpenAI ChatGPT,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0.0,1.0,9.0,2.0,"Oui, sans problème",0,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,18-25 ans.,0.0,Sciences et ingénierie,1.0,11,0,bac+5,0.0,9.6,"['HuggingChat', 'Grok', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'OpenAI ChatGPT']",Power User
2.0,1,1,0,1,0,0,1,OpenAI ChatGPT,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0.0,1.0,6.0,3.0,"Non, jamais",1,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,18-25 ans.,0.0,Économie et gestion.,1.0,7,0,bac+5,0.38,10.4,"['Microsoft Copilot', 'HuggingChat', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'DeepSeek', 'OpenAI ChatGPT']",Power User
3.0,1,0,0,1,0,0,1,OpenAI ChatGPT,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.0,2.0,8.0,2.0,"Oui, sans problème",0,1.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,18-25 ans.,0.0,Sciences et ingénierie,1.0,14,0,bac+5,0.0854102777777777,10.9,"['HuggingChat', 'Perplexity AI', 'OpenAI ChatGPT', 'Mistral AI', 'DeepSeek', 'OpenAI ChatGPT']",Power User
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,4.0,2.0,"Oui, sans problème",1,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,40-60 ans,0.0,Autre,0.0,10,0,bac+2,0.0930430952380952,2.0,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
2.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0.0,1.0,8.0,3.0,"Oui, avec méfiance",0,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,18-25 ans.,1.0,Économie et gestion.,1.0,7,0,bac+3,0.0760810515873015,5.0,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1.0,1.0,5.0,2.0,"Oui, sans problème",0,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,18-25 ans.,0.0,"Arts, lettres et sciences humaines.",1.0,8,0,bac+3,0.45,10.0,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
3.0,1,0,0,0,0,0,1,OpenAI ChatGPT,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1.0,1.0,8.0,2.0,"Non, pas d'accord",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,0.0,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,18-25 ans.,0.0,Économie et gestion.,1.0,8,0,bac+5,0.0575453751803751,8.3,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
1.0,1,0,0,0,0,0,1,OpenAI ChatGPT,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,6.0,1.0,"Non, pas d'accord",1,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,1.0,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,25-30 ans.,1.0,Médecine et santé.,1.0,3,0,bac+8,0.0609959523809523,3.6,"['Perplexity AI', 'Mistral AI', 'HuggingChat', 'OpenAI ChatGPT', 'OpenAI ChatGPT']",Curieux
